V005,V012,V021,V023,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3,Total Number of Children,Wealth Index
-0.06288861,0.3377178,-0.5814582,0.11716377,-0.039662514,0.04857001,0.02626999,-0.12481824,0.55103904,0.08089708,0.06960051,-0.024195276,-0.4808712,0.14845844,-0.5335655,0.047594577,-0.5064637,-1.0640576,-0.9520633,-0.029506959,-0.3990853,0.028016537
-0.07516091,-0.36231285,-0.10035776,0.07021777,-0.06603557,-0.13530973,-0.1681349,0.094997905,0.0084505025,-0.4725083,-4.5386686,0.03012074,-0.42346585,-0.34337807,0.25700843,-0.3092865,0.077532105,-0.58417445,0.2185753,-0.84909433,0.37017703,-0.052868173
-0.01656783,-0.26067838,-0.119319536,-0.1281726,-0.12280068,-0.47128972,0.029513076,0.052940473,0.672705,0.10437685,0.21915044,-0.019175727,-0.7521313,-0.034031067,0.15721047,-0.010275315,-0.46258688,-1.0076892,-0.96889013,-0.057355627,-0.4456657,0.07297953
-0.0055956272,0.2750124,0.19969065,-0.09614751,-0.031090904,0.048134286,0.13470577,-0.025729267,-0.26728317,-0.5117723,-4.9205484,0.039814316,-0.48697075,-0.2424917,-0.31599364,-0.34521472,0.02099273,0.13089801,0.20986025,-0.89929664,-0.21259645,0.017661579
0.033346854,-0.6335373,0.12536374,-0.09297999,0.030411372,-0.07780759,0.058249205,-0.056968667,0.47379383,-0.4946344,-5.033099,0.05128939,-0.47470605,-0.29221636,0.23534648,-0.4343632,0.058336798,-0.69165444,0.20396952,-0.8502657,-0.21713485,0.015341471
-0.041854035,0.05492898,0.13242823,-0.15526782,-0.03548708,0.14723364,0.019810831,-0.15615039,-0.36703563,-0.8402603,-0.16692258,-0.12138307,-0.36130512,-0.08691133,0.27000445,0.036604658,-0.6276708,0.08085334,0.28308108,-0.05859167,-0.44699267,0.013737373
-0.11371888,-0.8437817,-0.4730808,0.120066635,-0.05068005,-0.13145356,-0.13517678,0.033516157,-0.072329566,-0.44637984,-4.3867784,0.032729466,-0.45441204,-0.3979762,0.20850448,-0.39100584,0.062060826,-0.6579542,0.22237925,-0.83498263,0.09618038,-0.025216943
-0.12349822,-0.2899012,-0.29209226,0.03911003,-0.029148009,-0.07289632,-0.008248191,0.07284886,-0.09252047,-0.4700024,-4.708185,0.027316157,-0.5487788,-0.4002572,0.13831694,-0.29914773,0.066271804,-0.6146861,0.2235995,-0.918845,0.27575076,0.030830696
-0.054894216,0.31764328,-0.37312123,0.11687831,0.027287068,-0.033371933,-0.032690372,-0.036557727,-0.10314681,-0.41861224,-4.9212737,0.030494742,-0.461997,-0.24828176,-0.23774332,-0.41716617,0.060203955,0.09450788,0.22428815,-0.7277473,-0.25263768,-0.01828022
-0.17292045,0.32156137,-0.18024653,0.07408263,-0.037200764,0.07771645,0.17033976,0.10498099,0.9501608,0.48924604,0.3563963,-0.011062814,-0.3224975,0.041597765,-0.49046606,0.092200294,-0.42088157,-0.95937335,-0.9924681,-0.021377673,-0.48357648,-0.032207746
-0.9701059,-0.4125606,-0.15198027,0.07842336,0.027587516,0.03659889,-0.030574938,0.0789964,0.45412382,-0.44977647,-4.9182324,0.05379803,-0.4822122,-0.3683097,0.2749499,-0.4051509,-0.0010341447,-0.6770926,0.20748113,-0.91647494,-0.18781105,0.014475692
-0.11424286,-0.03949868,-0.031658195,-0.058408678,0.018821295,-0.1062666,-0.05443477,-0.045346145,-0.2667106,-0.49391466,-5.1292405,0.03808936,-0.42724243,-0.34293643,0.17295904,-0.31808448,0.085345075,0.08204295,0.22591825,-0.8422351,-0.3024549,0.022719596
0.1947541,0.1942632,0.013307778,0.11196797,0.21308607,-0.08754293,-0.18476151,-0.073832735,-0.6759902,-0.6725026,-0.07745121,-0.08045383,-0.5147474,0.29971957,-0.34011805,-0.18961889,-0.56665653,0.040335495,0.24168387,-0.08668973,-0.4943565,-0.021252636
-0.30409876,-0.9096712,-0.22715792,0.05542289,-0.039639033,-0.057648007,0.024310648,0.06475959,-0.29476944,0.06536373,0.087789945,-0.035447158,-0.4427204,-0.35731664,0.28159165,0.13894138,-0.4789457,-0.9756128,-1.0907748,-0.0012439296,0.20160638,0.026795937
0.13161337,0.29511312,0.018285127,-0.48805666,-0.038540162,0.0979918,0.060225494,-0.099707566,0.8218837,0.13914599,0.19308145,-0.022771813,-0.429965,0.024292417,-0.5038743,-0.21659645,-0.6581883,-1.0316015,-0.9866503,-0.009978822,-0.50513625,0.035286777
-0.07289898,-0.6505359,-0.2509007,-0.121225365,-0.050401766,0.17468148,0.051573347,0.05962717,-0.4764673,0.14178053,0.15824173,-0.09227067,-0.34265533,-0.119241305,0.30285066,0.11891076,-0.3390014,0.13564862,-1.2025396,-0.745661,-0.42038083,0.019934367
-0.18755901,0.276659,-0.030208867,0.09632099,-0.053037748,0.20376499,0.020687414,-0.11034459,-0.19317004,-0.8233644,-0.24629864,-0.089967266,-0.30451334,0.079993546,-0.4127145,-0.043075982,-0.62187934,0.14692166,0.32886207,-0.083439924,-0.4746917,0.012185817
-0.23921031,-0.0014818565,-0.123616844,0.046105187,-0.23335785,-0.094415106,-0.40831265,-0.06483831,-0.28502932,0.40652055,-0.011943483,-0.1250446,-0.34367663,0.2537314,0.3281161,0.07791621,-0.21528317,0.25908825,-0.94864327,0.075129844,-0.45684645,-0.029546043
-0.07858082,-0.4623177,0.4636979,-0.09944369,-0.029755391,-0.15494023,-0.01701964,-0.06597877,0.0030254102,-0.97125006,-0.4667014,-0.096794024,-0.3252478,-0.05522861,0.20558874,0.033736683,-0.36132258,0.12961894,0.29194814,-0.10099992,-0.5383289,0.022037104
0.2251378,-0.1350395,-0.15423271,0.13025746,0.038718753,-0.12246449,-0.3100301,-0.11934984,-0.15582877,-0.80574185,-0.16319029,-0.15541609,-0.38641652,-0.14320226,0.08978289,-0.21412322,-0.6880806,0.1326292,0.26787755,-0.124184474,-0.402012,-0.017061397
0.13952653,0.14971513,0.022959331,-0.39308378,-0.03490792,-0.02599479,0.01827001,0.09955844,0.6984768,-0.8054928,0.13451576,-0.20094036,-0.3069102,-0.14346777,0.30793384,-0.0824941,-0.6005119,-0.9938351,0.20635323,-0.04803096,-0.3557296,0.022660244
0.18117516,-1.0538305,-0.16703473,-0.3269457,-0.10009044,-0.08743244,0.049213782,0.05135184,-0.22222462,-0.89186174,0.141675,-0.058805536,-0.7166236,0.029844489,0.28753677,-0.17224225,-0.4660193,-1.0127343,0.15695074,-0.06831941,0.42944583,0.022713464
0.026917249,0.19944221,-0.5003939,0.096943706,-0.032150768,-0.25083232,0.040346462,-0.025566436,-0.43378258,-1.2396784,-0.23902021,-0.04356496,-0.3594387,-0.059488412,-0.31560948,-0.046746716,-0.36229298,0.14069507,0.27862528,-0.041940775,-0.38953808,-0.004819443
-0.30528513,0.26309705,-0.17259876,0.11230068,0.025638046,-0.15644735,0.04853046,-0.08030374,-0.4824944,0.39458448,0.0892704,-0.060716983,-0.2822447,-0.01797662,-0.28325105,0.09897725,-0.4627809,0.102164045,-1.3518276,-0.8019215,-0.46872064,-0.030973518
-0.21993591,-0.79089105,0.14918476,-0.17586984,-0.03736951,0.077837355,0.059856985,-0.013495504,-0.8654162,0.33788756,0.31953427,-0.07332678,-0.42651737,-0.19720021,0.33261937,0.040946875,-0.5289291,0.014191154,-1.0882845,-0.7566959,-0.5488129,0.031156406
0.17055416,0.22336642,0.153979,-0.13424286,-0.35091704,-0.21253555,-0.4285525,-0.067058094,-0.20895806,-0.59404814,-0.36823407,-0.3961073,-0.52048767,0.101275116,-0.3147215,0.057054292,-0.50417,0.1269914,0.25775397,-0.66988957,-0.46551937,-0.057881355
0.075648025,0.3028319,0.07279115,-0.3317097,-0.022659753,0.052039288,-0.14097558,-0.026754342,-0.18749298,-0.5819155,-2.4905796,-0.060201116,-0.43302304,0.35608718,-0.33143795,0.050467037,-0.50897324,0.11331401,0.33408386,0.9049174,-0.2191669,0.0054604076
-0.19646928,0.2984504,0.004179457,0.08871227,-0.030714288,-0.028567329,-0.009713098,-0.03992747,0.49558645,-0.49517423,-4.748151,0.032507002,-0.5418342,-0.29870105,-0.37075546,-0.3961568,-0.0388932,-0.73989856,0.21087512,-0.8967535,-0.31913483,0.02162694
-0.24092047,-0.01855527,0.24802805,-0.11522445,-0.037780546,0.11907929,0.022889204,-0.12311583,-0.20060945,0.1257833,-0.23269813,-0.029125217,-0.30403683,-0.1523455,0.1715696,0.0338985,-0.59017265,0.11192526,-1.117977,-0.055688173,-0.49963045,0.020541541
0.054484453,0.41490194,-0.09363818,-0.4324727,-0.039481793,0.0012922502,0.1117605,-0.115513176,0.54482275,0.03704224,0.22678663,-0.043001674,-0.4045826,-0.033715986,-0.41592166,0.053280454,-0.40830287,-1.0101889,-1.0238274,0.007963584,-0.38497052,-0.091220856
-0.4631384,0.5153202,-0.21942306,0.03842505,-0.062388394,0.049087226,0.11436137,-0.08746022,0.5403605,-0.7346413,-0.12065496,-0.089863755,-0.5365547,-0.00089644454,-0.54983807,-0.32703754,-0.043335848,-1.1340325,0.34400085,-0.81540513,-0.42420676,-0.04501301
