V005,V012,V021,V023,V024,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3
0.022985214,-0.97730154,-0.11638568,0.056344192,0.010526445,-0.046021875,0.13581201,0.060982164,0.43338987,0.19833899,-0.8265422,0.20130062,0.004096675,-0.8268517,-0.22591853,0.4349035,0.0054919734,-0.45343593,-0.90706134,0.18930493,-0.20295852
-0.17120543,-0.81463516,-0.29926595,0.0056462814,0.02443851,-0.1220647,-0.08171513,0.012471253,0.15777847,0.3687627,-0.7645128,0.028864749,-0.13411666,-0.45619854,-0.09616387,0.4308973,0.06654442,-0.64777523,-1.0108829,0.22034284,-0.60937756
-0.068054974,0.4462773,0.12766086,0.006614385,0.03777657,-0.058925588,-0.072428964,-0.16707619,-0.0088085495,-0.20954072,-0.6169587,-4.6374226,-0.037719775,-0.46760538,-0.26668218,-0.41436946,-0.34994277,-0.19307853,0.111615516,0.19826563,-0.76480126
-0.2269482,0.54055583,-0.5095953,0.03999921,0.050290998,0.11088576,0.12734301,-0.46078697,-0.1757334,-0.24877931,0.25967357,-0.12962824,-7.2583076e-05,-0.31039456,0.23910964,-0.6711099,0.049441367,-0.37493965,0.1836398,-1.0483531,-0.13092363
-0.20353213,-0.07168476,0.6108654,-0.030052686,-0.1058277,-0.0534158,0.06123684,0.014840658,-0.1317002,-0.2705964,0.08668353,-0.55282223,0.10505825,-0.5687147,0.09474862,0.1283948,-0.008963832,-0.22891693,0.15087406,-0.7771564,-1.1082883
-0.28177726,0.47655046,-0.0896739,0.029206943,0.042300608,-0.106697686,-0.31713352,-0.21271922,0.060651157,0.5940656,-0.70122695,0.02052225,-0.0063773855,-0.8584666,0.1460179,-0.68719935,-0.06524105,-0.2939184,-1.1640964,0.2788375,-0.2717272
0.017223373,0.36124286,-0.07654893,0.0520533,0.037038907,-0.0950924,-0.037876487,-0.032527424,0.007525945,0.36163944,-0.8891836,-0.11426155,-0.6762299,-0.33527038,0.19073677,-0.62486386,-0.096445896,-0.25524926,-1.0106992,0.3096935,0.15170619
-0.14111714,-0.4490713,0.19852568,-0.034467127,-0.1857274,-0.04200016,-0.08800443,-0.11246822,0.09752005,-0.4524387,-0.6921517,-4.7307425,0.15976831,-0.5331745,-0.35932148,0.60379523,-0.445956,-0.17205526,0.07758133,0.17482243,-0.7347477
-0.045608427,-0.04925297,-0.8168291,0.031491674,0.14520778,-0.019350888,0.009896448,0.049043976,-0.12837724,-0.46776587,0.1334299,-0.12915954,-0.18218128,-0.516433,0.04615774,0.08468667,0.03648596,-0.54864407,0.16030543,-0.8421873,-0.095766485
0.17221685,-0.8161185,-0.06995227,0.03439928,-0.003088838,-0.068645135,0.062360343,0.07635047,0.16295765,-0.48806188,0.29473406,-0.006575757,-0.60954165,-0.6045026,-0.18147773,0.5198403,0.010612905,-0.24125773,0.100509726,-0.9816663,-0.057846148
0.057181716,-1.0528988,0.053471595,-0.06748949,-0.17230928,-0.04017182,-0.0958215,0.06470219,0.07275436,-0.38577026,-0.64944917,-4.801853,-0.005648269,-0.5280098,-0.3554027,0.39860076,-0.7304269,-0.14977638,0.08864607,0.1898134,-0.81256646
0.03607339,0.5496883,-0.22085215,0.014129954,-0.074002504,-0.07363176,-0.07076236,-0.021539444,-0.064914055,-0.3881292,-0.6731695,-4.553346,-0.028614884,-0.5835215,-0.2926867,-0.41593942,-0.41206172,-0.13392581,0.11101255,0.18531922,-0.8271893
-0.17106496,-0.010608669,-0.14079282,0.012911763,-0.013195318,-0.059334725,-0.17297454,0.01985346,-0.08092463,-0.48185077,-1.1648127,-0.466804,-0.0013494615,-0.2947178,0.20255283,0.14960791,-0.06382394,-0.36745307,0.1917117,0.20790425,-0.07027886
0.14072706,0.34653687,-0.232752,0.04208865,0.20389146,-0.113096714,0.004063014,-0.008568073,-0.066312484,0.34413004,-0.5660147,-4.3840685,-0.01937661,-0.65589017,-0.34613505,-0.4379544,-0.42530486,-0.20058513,-0.614363,0.17502953,-0.8491305
-0.07333954,-0.7260747,-0.053199023,0.009579071,0.053868853,-0.06241643,-0.18551461,0.10287175,-0.009679152,-0.4725102,0.20484646,0.040534478,-0.019542981,-0.5016705,-0.31418428,0.4737583,0.059740487,-0.25083265,0.0963593,-1.0708338,-0.1633382
-0.049002778,-0.42189497,-0.70536315,0.025484534,0.12017351,0.14390068,-0.153294,-0.02436484,0.10508049,0.4993181,0.15367167,0.16081037,-0.07176399,-0.72576755,-0.13161519,0.034343388,0.019742731,-0.21117704,-1.1404008,-0.8421836,-0.29018345
-0.31266174,0.38805485,-0.79461586,0.025118722,0.051343206,0.07612665,-0.09028375,-0.19753414,0.0023460363,0.35438505,-0.81039023,0.2298258,-0.005234334,-0.27331114,-0.1550819,-0.5682058,-0.050803326,-0.3017612,-1.2135485,0.3326602,-0.2594442
-0.15905325,0.3031792,-0.5178315,0.029889971,0.14091194,0.12250419,-0.040235702,-0.08669465,0.07450131,0.4447363,-0.5681698,-4.3600745,0.0050981045,-0.5547772,-0.31440872,-0.3712308,-0.40472153,-0.12749517,-0.608516,0.18382014,-0.7398143
0.53436655,-0.3619194,0.07508041,0.011110184,0.036087606,-0.040399604,-0.11783526,-0.030852411,0.13058753,0.50698507,-0.8482804,0.15602352,0.008352175,-0.5386633,-0.11261737,0.08425467,-0.17301351,-0.04072218,-0.9937859,0.23348357,-0.30018473
0.009053821,0.010421623,0.29133147,0.007990759,0.074393876,-0.055423647,-0.14756554,0.10630117,-0.00826427,-0.46538115,0.1895117,-0.22494377,-0.008306201,-0.4740571,0.16311835,0.13173066,0.044279482,-0.40129548,0.14239483,-0.9816579,-0.09501089
-0.03634742,0.4317937,-0.0774579,0.020429457,-0.09589654,-0.05583867,0.13476357,0.02285871,-0.9035482,-0.51465,-1.1015136,-0.020229556,-0.094651565,-0.36426634,0.23562036,-0.8064715,-0.114014536,-0.4214144,0.13557494,0.19962744,-0.15047859
-0.056294776,0.32222393,-0.21323158,-0.0020667233,-0.03976693,-0.06767751,-0.04836574,-0.0221985,0.3238263,0.2267411,-0.5441145,-4.4433875,-0.041928235,-0.5981381,-0.32735977,-0.42162406,-0.39590508,-0.12987122,-0.62194496,0.19490507,-0.8079417
-0.16591305,0.55129296,-0.23251192,0.009205132,-0.1488115,0.08695502,0.004353129,-0.003453463,-0.0017797118,-0.42535907,-0.75062495,-4.662791,-0.027407685,-0.61233246,-0.29450214,-0.4085202,-0.49140847,-0.10863838,0.058558412,0.17460284,-0.7693009
0.16156045,0.44491547,0.5529141,-0.034624502,-0.03405172,-0.053907864,0.123735495,0.050832987,-0.12274335,-0.18770458,0.05384428,-0.4567883,-0.042223398,-0.39149144,0.25343493,-0.7440501,0.05579857,-0.46482754,0.16629116,-0.99010074,-0.030882316
-0.124996185,-0.06603369,-0.94643503,0.024510644,0.09507047,0.091186546,-0.16679786,-0.044257503,0.3483214,0.020976052,-0.8035749,0.012151818,-0.06119185,-0.36622125,0.14875844,0.073800854,-0.14684075,-0.24177983,-1.0015163,0.2963095,-0.34800118
-0.22626902,-0.029598309,-0.21474399,0.08209254,0.09079042,-0.07121992,0.12953067,0.13547754,0.02568686,0.42603517,0.2925536,0.18383965,-0.009957176,-0.44587404,-0.24841668,0.10800452,0.031151751,-0.5585789,-1.1101998,-0.954784,-0.09265333
0.11250142,-0.08566963,-0.55885214,0.03008393,0.16279453,0.044759024,-0.06034976,0.045339208,0.08904127,-0.4786467,-0.6944648,-4.785469,0.02247241,-0.54181886,-0.33512047,0.02061607,-0.41440332,-0.121589445,0.074863486,0.18132691,-0.81940395
-0.13683625,-0.019209376,-0.121442765,0.017536767,-0.10608237,0.04865773,0.12266286,-0.17848575,0.08208833,-0.42435545,-0.6784185,-4.630963,-0.051731024,-0.49307567,-0.3388783,0.0793829,-0.4385834,-0.17003185,0.06947237,0.1780317,-0.89131904
-0.12716511,0.51338726,-0.14144582,-0.019152382,-0.20518313,0.08867149,0.07933082,-0.07777078,-0.24524517,-0.21531384,-0.5938445,-4.5584736,-0.010786791,-0.5935519,-0.30332538,-0.45284235,-0.43556577,-0.14064184,0.078082085,0.17901278,-0.7545923
